Price,Car Name,Region,Condition,Mileage
"₦ 7,800,000",Honda Accord Crosstour EX-L AWD 2010 Gray,"Lagos State, Ikorodu",Local Used,136036 km
"₦ 2,415,000",Hyundai Santa Fe 2003 Burgandy,"Lagos State, Yaba",Local Used,214470 km
"₦ 12,232,500",Hyundai Elantra 2013 Black,"Lagos State, Lekki",Foreign Used,332737 km
"₦ 10,500,000",Hyundai Tucson GL FWD 2013 Blue,"Lagos State, Lekki",Local Used,127129 km
"₦ 3,150,000",Toyota Solara 1999 Black,"Abuja (FCT), Gudu",Local Used,248150 km
"₦ 4,935,000",Lexus ES 2004 Gray,"Oyo State, Ibadan",Local Used,152821 km
"₦ 4,935,000",Ford Fusion SE 2012 Black,"Lagos State, Lekki",Local Used,130891 km
"₦ 22,050,000",Honda CR-V 2018 Black,"Lagos State, Lekki",Local Used,101273 km
"₦ 4,200,000",Peugeot 206 2005 Blue,"Abuja (FCT), Lugbe District",Foreign Used,197703 km
"₦ 5,880,000",Mazda CX-9 2009 Burgandy,"Lagos State, Magodo",Local Used,295297 km
"₦ 5,310,375",Mazda CX-9 2010 Black,"Lagos State, Abule Egba",Local Used,207409 km
"₦ 8,320,000",Toyota Camry 2007 Black,"Rivers State, Port-Harcourt",Local Used,63062 km
"₦ 5,775,000",Toyota Sienna LE 4WD 2007 Silver,"Lagos State, Ilupeju",Local Used,196518 km
"₦ 5,250,000",Ford Figo 2018 Silver,"Lagos State, Ojodu",Local Used,189652 km
"₦ 7,280,000",Honda CR-V 2009 Blue,"Rivers State, Port-Harcourt",Local Used,91022 km
"₦ 11,025,000",Land Rover Range Rover Sport 2013 Black,"Lagos State, Isolo",Local Used,63575 km
"₦ 5,712,000",Toyota Camry 2007 Black,"Lagos State, Alimosho",Local Used,204233 km
"₦ 40,950,000",Land Rover Range Rover 2016 Black,"Lagos State, Lekki",Local Used,120833 km
"₦ 2,310,000",Honda Accord 2003 Silver,"Lagos State, Lekki",Local Used,209938 km
"₦ 12,029,850",Mercedes-Benz GLK-Class 350 4MATIC 2011 White,"Lagos State, Ojodu",Local Used,303695 km
"₦ 5,775,000",Honda CR-V 2007 Black,"Rivers State, Port-Harcourt",Local Used,148094 km
"₦ 26,000,000",Toyota Venza 2015 Gray,"Abuja (FCT), Lugbe District",Foreign Used,169626 km
"₦ 5,460,000",Acura MDX 2005 White,"Lagos State, Ajah",Foreign Used,334160 km
"₦ 8,400,000",Nissan Rogue 2012 White,"Lagos State, Ikorodu",Foreign Used,109007 km
"₦ 11,550,000",Audi Q7 2014 Black,"Lagos State, Lekki",Local Used,42687 km
"₦ 122,850,000",Lexus RX 350 2024 Red,"Lagos State, Amuwo-Odofin",Foreign Used,646 km
"₦ 5,040,000",Toyota Corolla 2005 Blue,"Rivers State, Port-Harcourt",Local Used,88256 km
"₦ 31,500,000",Toyota Land Cruiser 2010 Black,"Lagos State, Ikeja",Local Used,176000 km
"₦ 3,885,000",Infiniti M 35 2008 Silver,"Rivers State, Port-Harcourt",Local Used,154904 km
"₦ 8,400,000",Kia Mohave 2013 Black,"Rivers State, Port-Harcourt",Local Used,108687 km
"₦ 6,032,000",Honda Pilot 2007 Gray,"Lagos State, Alimosho",Local Used,290986 km
"₦ 3,675,000",Opel Zafira 1.8 2002 Silver,"Lagos State, Lekki",Local Used,304833 km
"₦ 14,700,000",Mercedes-Benz GLK-Class 2013 Silver,"Abuja (FCT), Lugbe District",Local Used,177275 km
"₦ 4,032,000",Toyota Camry 2005 Black,"Abuja (FCT), Gwarinpa",Local Used,200890 km
"₦ 18,720,000",Mercedes-Benz GLK-Class 2015 Blue,"Abuja (FCT), Garki 2",Local Used,82228 km
"₦ 10,290,000",Toyota Sienna 2008 Silver,"Lagos State, Surulere",Foreign Used,194306 km
"₦ 12,075,000",Toyota Venza 2009 White,"Lagos State, Abule Egba",Local Used,147713 km
"₦ 6,552,000",Lexus ES 2006 Gray,"Lagos State, Ojodu",Local Used,122685 km
"₦ 3,890,000",Acura MDX 2006 Silver,"Lagos State, Kosofe",Local Used,195707 km
"₦ 12,285,000",Toyota Camry 2017 Black,"Lagos State, Kosofe",Local Used,199488 km
"₦ 16,016,000",Toyota Venza 2009 Brown,"Lagos State, Amuwo-Odofin",Local Used,79649 km
"₦ 4,725,000",Toyota Avensis 1998 Silver,"Abuja (FCT), Gwarinpa",Local Used,4790665 km
"₦ 29,120,000",Lexus RX 350 2015 Red,"Delta State, Oshimili South",Foreign Used,120362 km
"₦ 29,400,000",Mercedes-Benz GLE-Class 2017 White,"Abuja (FCT), Jabi",Local Used,119821 km
"₦ 13,125,000",Land Rover Range Rover Evoque Pure AWD 5-Door 2013 Black,"Lagos State, Lekki",Local Used,133481 km
"₦ 8,190,000",Lexus ES 2007 Red,"Enugu State, Enugu",Local Used,107079 km
"₦ 6,240,000",Lexus ES 2004 Gold,"Lagos State, Amuwo-Odofin",Local Used,321253 km
"₦ 10,869,600",Land Rover Range Rover Evoque 2012 Black,"Lagos State, Ajah",Local Used,58732 km
"₦ 12,480,000",Mercedes-Benz C300 2010 Silver,"Oyo State, Ibadan",Foreign Used,215962 km
"₦ 7,800,000",Toyota RAV4 2008 Gold,"Lagos State, Isolo",Local Used,88777 km
"₦ 4,620,000",Toyota Sienna 2004 Silver,"Oyo State, Ibadan",Local Used,119409 km
"₦ 13,125,000",Land Rover Range Rover Vogue 2010 Black,"Abuja (FCT), Gwarinpa",Local Used,160678 km
"₦ 8,320,000",Toyota Corolla 2010 Gray,"Lagos State, Ikotun/Igando",Local Used,66081 km
"₦ 2,730,000",Mazda 6 2006 Green,"Lagos State, Kosofe",Local Used,192180 km
"₦ 5,250,000",Toyota Camry 2007 Green,"Lagos State, Surulere",Local Used,183696 km
"₦ 3,536,000",Hyundai Sonata 2008 Green,"Imo State, Owerri",Local Used,347115 km
"₦ 2,835,000",Toyota RAV4 Base FWD 2001 Silver,"Rivers State, Port-Harcourt",Local Used,403820 km
"₦ 5,250,000",Toyota Avensis 2004 Silver,"Lagos State, Lekki",Local Used,180258 km
"₦ 13,650,000",Acura MDX 2015 Gray,"Lagos State, Isolo",Local Used,123120 km
"₦ 9,880,000",Toyota Corolla 2013 Gray,"Abuja (FCT), Kubwa",Local Used,72122 km
"₦ 9,048,000",Toyota Corolla 2012 Gray,"Rivers State, Port-Harcourt",Local Used,78703 km
"₦ 7,488,000",Toyota Camry 2007 Blue,"Lagos State, Ajah",Local Used,241190 km
"₦ 3,150,000",Toyota RAV4 2003 Silver,"Lagos State, Alimosho",Local Used,334774 km
"₦ 8,400,000",Toyota Corolla 2011 Black,"Rivers State, Port-Harcourt",Local Used,193602 km
"₦ 5,040,000",Toyota Camry 2007 Red,"Abuja (FCT), Karu",Local Used,211056 km
