Price,Car Name,Region,Condition,Mileage,Year,Color,Brand,Log_Price
20812500.0,Mercedes-Benz E350,Abuja (FCT),Local Used,81276.0,2015,Black,Mercedes-Benz,16.851064373752983
5625000.0,Peugeot 407,Abuja (FCT),Local Used,95312.0,2004,Purple,Peugeot,15.54273168383252
8100000.0,Hyundai Ix35,Lagos State,Local Used,201911.0,2014,White,Hyundai,15.90737474309945
25818750.0,Mercedes-Benz M Class,Lagos State,Foreign Used,247234.0,2012,Gray,Mercedes-Benz,17.066611568858754
10125000.0,Honda Ridgeline,Lagos State,Local Used,154786.0,2008,Burgandy,Honda,16.130518269722305
6525000.0,Volkswagen Passat 1.4 TSI Sedan,Lagos State,Local Used,177.0,2012,White,Volkswagen,15.691151664429723
13500000.0,Toyota Sienna,Oyo State,Foreign Used,128875.0,2005,Silver,Toyota,16.41820031748273
9562500.0,Honda Civic,Abuja (FCT),Foreign Used,154489.0,2009,Gray,Honda,16.073359861692087
22500000.0,Toyota Tundra,Lagos State,Foreign Used,266863.0,2010,Black,Toyota,16.929025911619092
29250000.0,Toyota Highlander,Lagos State,Local Used,124704.0,2015,Blue,Toyota,17.19139016583017
16875000.0,Toyota Corolla,Kaduna State,Foreign Used,110482.0,2014,Blue,Toyota,16.641343853982125
2250000.0,Honda Civic,Lagos State,Local Used,192477.0,2002,Blue,Honda,14.626441218624947
5062500.0,Honda CR-V,Rivers State,Local Used,209036.0,2010,Black,Honda,15.437371187927775
9562601.0,Ford Edge,Ogun State,Local Used,459827.0,2012,Brown,Ford,16.073370423726708
8437500.0,Toyota Camry,Lagos State,Local Used,513117.0,2009,White,Toyota,15.948196732681433
2812500.0,Nissan Xterra,Lagos State,Local Used,205285.0,2005,Black,Nissan,14.849584681050304
28125000.0,Land Rover Range Rover Sport HSE 4x4 (3.0L 6cyl 8A),Lagos State,Local Used,41950.0,2014,Silver,Land,17.15216945404441
6750000.0,Mazda CX-9,Abuja (FCT),Local Used,155269.0,2007,Red,Mazda,15.72505321099685
6750000.0,Land Rover Range Rover Evoque,Edo State,Local Used,66581.0,2012,Burgandy,Land,15.72505321099685
84375000.0,Mercedes-Benz GLE-Class,Lagos State,Foreign Used,140714.0,2017,Gray,Mercedes-Benz,18.25078171900882
5625000.0,Toyota Corolla,Lagos State,Local Used,245991.0,2012,Black,Toyota,15.54273168383252
21375000.0,Dodge Charger,Lagos State,Foreign Used,165111.0,2014,White,Dodge,16.877732619570722
6412500.0,Toyota Camry,Akwa Ibom State,Local Used,121855.0,2009,Black,Toyota,15.673759924406568
30375000.0,Hyundai Santa Fe,Lagos State,Foreign Used,195513.0,2017,Silver,Hyundai,17.229130492546798
12375000.0,Lexus RX 350,Lagos State,Local Used,171545.0,2009,Red,Lexus,16.331188947227105
2025000.0,Nissan Maxima,Oyo State,Local Used,448123.0,2002,Gray,Nissan,14.521080752349814
3712500.0,Honda Civic,Lagos State,Local Used,172684.0,2008,Gray,Honda,15.127216331453324
9562500.0,Honda Pilot,Lagos State,Local Used,100013.0,2011,Gray,Honda,16.073359861692087
6097500.0,Toyota Camry,Lagos State,Local Used,248942.0,2007,Gray,Toyota,15.623389573073839
10996875.0,Toyota Camry,Ondo State,Local Used,211272.0,2013,Blue,Toyota,16.213121790427007
77625000.0,Lexus GX,Lagos State,Foreign Used,109804.0,2016,Black,Lexus,18.167400111100363
10125000.0,Audi Q7,Abuja (FCT),Local Used,81277.0,2012,Red,Audi,16.130518269722305
4905000.0,Toyota Matrix,Lagos State,Local Used,149508.0,2006,Blue,Toyota,15.405765854855177
13320000.0,Toyota Highlander,Lagos State,Local Used,249879.0,2012,Black,Toyota,16.40477729815159
5625000.0,Mercedes-Benz C240,Enugu State,Local Used,352692.0,2001,Gray,Mercedes-Benz,15.54273168383252
7312500.0,Toyota Avalon,Abia State,Local Used,384807.0,2009,Blue,Toyota,15.805095907274376
10125000.0,Toyota Sienna,Lagos State,Local Used,370650.0,2005,Green,Toyota,16.130518269722305
9562500.0,Honda Crosstour,Lagos State,Local Used,160850.0,2013,Black,Honda,16.073359861692087
5625000.0,Toyota Camry,Abuja (FCT),Local Used,196332.0,2005,Red,Toyota,15.54273168383252
5355000.0,Toyota Camry,Lagos State,Local Used,100685.0,2008,Silver,Toyota,15.493541448605331
16256250.0,Toyota RAV4,Lagos State,Local Used,254938.0,2015,Silver,Toyota,16.603988069693898
3150000.0,Nissan X-Trail 2.5 Sport,Lagos State,Local Used,282225.0,2005,Black,Nissan,14.962913328262083
2925000.0,Volvo XC90 D5 AWD Automatic,Lagos State,Local Used,318345.0,2005,Gray,Volvo,14.888805380528376
37676250.0,Lexus RX,Lagos State,Local Used,269092.0,2016,Silver,Lexus,17.44454050696869
7312500.0,Toyota RAV4,Lagos State,Local Used,225587.0,2010,Silver,Toyota,15.805095907274376
20278125.0,Toyota Highlander,Lagos State,Local Used,182983.0,2015,Beige,Toyota,16.82505332610589
5625000.0,Seat Ibiza,Lagos State,Foreign Used,144919.0,2005,Silver,Seat,15.54273168383252
11812500.0,Audi A6,Abuja (FCT),Local Used,523780.0,2012,Gray,Audi,16.284668935440216
15187500.0,Toyota Venza,Lagos State,Local Used,314038.0,2010,White,Toyota,16.53598334490866
24862500.0,Toyota Highlander,Lagos State,Local Used,149985.0,2015,Gray,Toyota,17.02887124236558
11283750.0,Honda Accord,Lagos State,Local Used,93728.0,2015,Black,Honda,16.238874284217516
10125000.0,Lexus ES,Abuja (FCT),Local Used,263314.0,2010,Black,Lexus,16.130518269722305
7875000.0,Toyota Camry,Abuja (FCT),Local Used,270618.0,2009,Red,Toyota,15.87920386966009
7312500.0,Jaguar S-Type,Lagos State,Local Used,,2000,Black,Jaguar,15.805095907274376
10462500.0,Nissan Altima,Lagos State,Foreign Used,121429.0,2015,Red,Nissan,16.16330808935931
3937500.0,Scion tC,Ogun State,Local Used,336810.0,2006,Black,Scion,15.186056816084246
2812500.0,Honda Accord,Oyo State,Local Used,410071.0,2002,Blue,Honda,14.849584681050304
4050000.0,Lexus RX 300,Abia State,Local Used,103110.0,2003,Gray,Lexus,15.21422768599627
10687500.0,Mercedes-Benz C300,Abia State,Local Used,206314.0,2008,Black,Mercedes-Benz,16.1845854857944
3037500.0,Nissan Primera,Ogun State,Local Used,263221.0,2003,Green,Nissan,14.926545695848993
22950000.0,Mercedes-Benz GLK-Class,Lagos State,Foreign Used,248071.0,2013,Black,Mercedes-Benz,16.948828538043813
9720000.0,Lexus ES,Lagos State,Local Used,104524.0,2010,Green,Lexus,16.089696279317273
11250000.0,Toyota Matrix,Lagos State,Foreign Used,412405.0,2010,Gray,Toyota,16.235878775503586
12150000.0,Toyota Highlander,Lagos State,Local Used,175088.0,2007,Black,Toyota,16.312839810055355
5062500.0,Honda City,Abuja (FCT),Local Used,154438.0,2010,Black,Honda,15.437371187927775
6750000.0,Honda Accord,Lagos State,Local Used,241274.0,2010,Gray,Honda,15.72505321099685
6187500.0,Toyota Corolla LE,Akwa Ibom State,Local Used,185093.0,2007,Gold,Toyota,15.63804184747523
6975000.0,Toyota Camry,Lagos State,Local Used,149390.0,2010,Gold,Toyota,15.757843029040869
